ingredient,cas_number
K-D SPERSE GREEN EP7,0
K-D SPERSE VIOLET EP23,0
L LACTIC ACID (ACTIVE),0
LANOLIN,0
LAUNDRY DETERGENT,0
LAURAMIDOPROPYLAMINE OXIDE,0
C.I. ACID BLUE 182,72152-54-6
C.I. PIGMENT RED 5,6410-41-9
C.I. PIGMENT RED 57,4/9/81
C.I. RED 40,25956-17-6
C10 ETHOXYLATED ALCOHOL,160875-66-1
C12-18 ALCOHOLS ETHOXYLATED,69227-21-0
"C16-18 AND C18-UNSATD., ETHOXYLATED",68920-66-1
CARBOMER,1/4/03
CARBON DIOXIDE,124-38-9
CATALASE,5/2/01
CHROMOPHORE SUBSTITUTED POLYOXYALKYLENE,withheld
COLORANT,withheld
COLORANT INGREDIENT,withheld
CONFIDENTIAL STABILIZER PACKAGE,withheld
COPOLYMER OF ACRYLIC MALEIC AND SULPHONIC ACIDS,withheld
GLYCOL ETHER,withheld
COMPRESSED AIR,132259-10-0
COPOLYMER OF ACRYLIC AND SULPHONIC ACIDS,97953-25-8
CYAMOPSIS TETRAGONOLOBA (ORGANIC GUAR) GUM,9000-30-0
DECANOL,112-30-1
DEXTRIN,9004-53-9
"D-GLUCOPYRANOSIDE, 2-ETHYLHEXYL",108081-06-7
DIETHYLAMINOMETHYLCOUMARIN,91-44-1
DIETHYLENETRIAMINE,111-40-0
DIETHYLESTER DIMETHYL AMMONIUM CHLORIDE,1079184-43-2
"ETHANAMINIUM, 2-HYDROXY-N-(2-HYDROXYETHYL)-N,N-DIMETHYL-, ESTERS WITH C16-18 AND C18-UNSATD. FATTY ACIDS, CHLORIDES",1079184-43-2
DIMETHYL SULFATEDL,77-78-1
DIRECT VIOLET 66,'6798-03-4
"DODECYLBENZENESULPHONIC ACID, COMPOUND WITH 2-AMINOETHANOL",26836-07-7
ETHANE,74-84-0
ETHYLBENZENE DL,100-41-4
ETHYLENE GLYCOL,107-21-1
"FATTY ACIDS,COCO, COMPOUNDS WITH ETHANOLAMINE",66071-80-5
FRAGRANCE,100-52-7
GLYCERINE,8013-25-0
HYDROGEN SULFATE,14996-02-2
ISOPENTANE,78-78-4
ISOPROPYLIDENEGLYCEROL,100-79-8
